PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked_Q,Embarked_S
1,0,3,0,-0.5657364610748746,0.4327933656785018,-0.4736736092984604,-0.5024451714361923,0,1
2,1,1,1,0.6638610320657843,0.4327933656785018,-0.4736736092984604,0.7868452935884461,0,0
3,1,3,1,-0.2583370877897099,-0.47454519624983954,-0.4736736092984604,-0.4888542575852486,0,1
4,1,1,1,0.4333115021019107,0.4327933656785018,-0.4736736092984604,0.4207302360686478,0,1
5,0,3,0,0.4333115021019107,-0.47454519624983954,-0.4736736092984604,-0.4863374216869257,0,1
6,0,3,0,-0.10463740114712752,-0.47454519624983954,-0.4736736092984604,-0.47811642890864375,1,0
7,0,1,0,1.893458525206443,-0.47454519624983954,-0.4736736092984604,0.395813560675251,0,1
8,0,3,0,-2.1027333275006983,2.2474704895351842,0.7676298785983874,-0.22408312108167944,0,1
9,1,3,1,-0.1814872444684187,-0.47454519624983954,2.0089333664952354,-0.4242561406845337,0,1
10,1,2,1,-1.180535207645204,0.4327933656785018,-0.4736736092984604,-0.04295550208861426,0,0
11,1,3,1,-1.949033640858116,0.4327933656785018,0.7676298785983874,-0.312172377522981,0,1
12,1,1,1,2.200857898491608,-0.47454519624983954,-0.4736736092984604,-0.11384570873513637,0,1
13,0,3,0,-0.719436147717457,-0.47454519624983954,-0.4736736092984604,-0.4863374216869257,0,1
15,0,3,1,-1.180535207645204,-0.47454519624983954,-0.4736736092984604,-0.4902797934380587,0,1
16,1,2,1,1.9703083685277343,-0.47454519624983954,-0.4736736092984604,-0.3262666585535892,0,1
18,1,2,0,-0.10463740114712752,-0.47454519624983954,-0.4736736092984604,-0.3866707201133388,0,1
19,0,3,1,0.12591212881674602,0.4327933656785018,-0.4736736092984604,-0.2859972841804228,0,1
20,1,3,1,-0.10463740114712752,-0.47454519624983954,-0.4736736092984604,-0.5029485386158568,0,0
21,0,2,0,0.4333115021019107,-0.47454519624983954,-0.4736736092984604,-0.12491978668775715,0,1
22,1,2,0,0.35646165878061953,-0.47454519624983954,-0.4736736092984604,-0.3866707201133388,0,1
23,1,3,1,-1.1036853643239128,-0.47454519624983954,-0.4736736092984604,-0.4867562231804066,1,0
24,1,1,0,-0.10463740114712752,-0.47454519624983954,-0.4736736092984604,0.06635974158478332,0,1
25,0,3,1,-1.6416342675729512,2.2474704895351842,0.7676298785983874,-0.22408312108167944,0,1
27,0,3,0,-0.10463740114712752,-0.47454519624983954,-0.4736736092984604,-0.5029485386158568,0,0
29,1,3,1,-0.10463740114712752,-0.47454519624983954,-0.4736736092984604,-0.48977642625839407,1,0
30,0,3,0,-0.10463740114712752,-0.47454519624983954,-0.4736736092984604,-0.4894421904510968,0,1
31,0,1,0,0.8175607187083667,-0.47454519624983954,-0.4736736092984604,-0.09027201697708476,0,0
32,1,1,1,-0.10463740114712752,0.4327933656785018,-0.4736736092984604,2.301728820789,0,0
33,1,3,1,-0.10463740114712752,-0.47454519624983954,-0.4736736092984604,-0.49237782784290063,1,0
34,0,2,0,2.8156566450619374,-0.47454519624983954,-0.4736736092984604,-0.43700743807979686,0,1
35,0,1,0,-0.10463740114712752,0.4327933656785018,-0.4736736092984604,1.0060617003323709,0,0
36,0,1,0,0.9712604053509489,0.4327933656785018,-0.4736736092984604,0.39858208016340624,0,1
37,1,3,0,-0.10463740114712752,-0.47454519624983954,-0.4736736092984604,-0.5028639729296732,0,0
38,0,3,0,-0.6425863043961658,-0.47454519624983954,-0.4736736092984604,-0.4863374216869257,0,1
39,0,3,1,-0.8731358343600393,1.340131927606843,-0.4736736092984604,-0.2859972841804228,0,1
40,1,3,1,-1.180535207645204,0.4327933656785018,-0.4736736092984604,-0.42207354059350805,0,0
41,0,3,1,0.8175607187083667,0.4327933656785018,-0.4736736092984604,-0.4576454924460446,0,1
42,0,2,1,-0.1814872444684187,0.4327933656785018,-0.4736736092984604,-0.22559322262067316,0,1
43,0,3,0,-0.10463740114712752,-0.47454519624983954,-0.4736736092984604,-0.4894421904510968,0,0
44,1,2,1,-2.025883484179407,0.4327933656785018,2.0089333664952354,0.18876253192945994,0,0
45,1,3,1,-0.7962859910387481,-0.47454519624983954,-0.4736736092984604,-0.48977642625839407,1,0
46,0,3,0,-0.10463740114712752,-0.47454519624983954,-0.4736736092984604,-0.4863374216869257,0,1
47,0,3,0,-0.10463740114712752,0.4327933656785018,-0.4736736092984604,-0.3363340021468808,1,0
48,1,3,1,-0.10463740114712752,-0.47454519624983954,-0.4736736092984604,-0.49237782784290063,1,0
49,0,3,0,-0.10463740114712752,1.340131927606843,-0.4736736092984604,-0.21191774308354583,0,0
50,0,3,1,-0.8731358343600393,0.4327933656785018,-0.4736736092984604,-0.29002422161773944,0,1
52,0,3,0,-0.6425863043961658,-0.47454519624983954,-0.4736736092984604,-0.4913710934835715,0,1
53,1,1,1,1.5092093085999871,0.4327933656785018,-0.4736736092984604,0.8964967865378598,0,0
54,1,2,1,-0.027787557825836348,0.4327933656785018,-0.4736736092984604,-0.12491978668775715,0,1
55,0,1,0,2.738806801740646,-0.47454519624983954,0.7676298785983874,0.5995101505357573,0,0
56,1,1,0,-0.10463740114712752,-0.47454519624983954,-0.4736736092984604,0.06635974158478332,0,1
57,1,2,1,-0.6425863043961658,-0.47454519624983954,-0.4736736092984604,-0.43700743807979686,0,1
58,0,3,0,-0.06621247948648194,-0.47454519624983954,-0.4736736092984604,-0.5028639729296732,0,0
59,1,2,1,-1.8721837975368247,0.4327933656785018,2.0089333664952354,-0.08968408411123653,0,1
61,0,3,0,-0.5657364610748746,-0.47454519624983954,-0.4736736092984604,-0.5028639729296732,0,0
62,1,1,1,0.6638610320657843,-0.47454519624983954,-0.4736736092984604,0.962353321387736,0,1
63,0,1,0,1.2018099353148226,0.4327933656785018,-0.4736736092984604,1.0323213593611125,0,1
64,0,3,0,-1.949033640858116,2.2474704895351842,2.0089333664952354,-0.08666388103324908,0,1
65,0,1,0,-0.10463740114712752,-0.47454519624983954,-0.4736736092984604,-0.09027201697708476,0,0
66,1,3,0,-0.10463740114712752,0.4327933656785018,0.7676298785983874,-0.3414522396297103,0,0
